LONGITUDE,LATITUDE,CLASS,ASPECT1,ELEVATION1,GEOLOGY1,LULC1,NDVI1,RAINFALL1,ROAD1,SLOPE1,SOIL1,STREAM1
88.623361,27.417972,1,97,1401.7998046875,5,8,0.293894588947296,1312.9501953125,5,25,1,1
88.623389,27.417778,1,90,1396.49694824219,5,8.76381492614746,0.304818868637085,1312.9501953125,5,19,1,1
88.623556,27.3955,1,211,1607.12121582031,5,8.99677276611328,0.351628959178925,1292.181640625,5,26,4,1
88.623583,27.395444,1,211,1607.12121582031,5,8.99677276611328,0.351628959178925,1292.181640625,5,26,4,1
88.62525,27.394,1,176,1588.63171386719,5,9,0.394948184490204,1292.181640625,5,37,4,1
88.626944,27.412111,1,334,1402.33984375,5,8,0.175240904092789,1312.45751953125,5,33,1,1
88.627083,27.412111,1,339,1411.78698730469,5,8,0.140559062361717,1312.87060546875,5,33,1,1
88.635278,27.393056,1,182,1580.92565917969,5,8.76481246948242,0.263361632823944,1330.55236816406,5,41,1,1
88.639611,27.384444,1,307,1648.71960449219,5,8,0.0889851674437523,1329.19384765625,5,30,1,1
88.691806,27.381556,1,210,3082.97900390625,5,1.00498902797699,0.0824642702937126,1337.52905273438,5,37,1,2
88.702611,27.383361,1,191,3175.61352539062,5,5.28176307678223,0.180214017629623,1337.06616210938,5,39,1,2
88.726,27.380806,1,192,3580.14184570312,5,6.81907272338867,0.223863571882248,1328.22534179688,5,37,1,1
88.770083,27.378306,1,156,3817.49340820312,5,1.00498902797699,0.0943864360451698,1335.96069335938,5,23,1,2
88.799667,27.376222,1,115,3936.6396484375,5,1.02112329006195,0.153976604342461,1398.1533203125,5,42,1,1
88.808694,27.38375,1,59,3936.32885742188,5,3,0.10562402009964,1451.88562011719,5,31,1,1
88.812361,27.380861,1,252,3984.11499023438,5,5.98732614517212,0.0915742069482803,1458.21923828125,5,17,1,1
88.711167,27.368194,1,246,3167.75952148438,5,8,0.037780549377203,1310.32531738281,5,33,1,1
88.711278,27.368278,1,232,3181.369140625,5,3.02112340927124,0.0770465731620789,1312.79809570312,5,23,1,1
88.704778,27.258222,1,127,1212.64318847656,5,7.5306224822998,0.269478350877762,1315.50207519531,10,21,1,1
88.706167,27.256,1,75,1164.62487792969,5,8,0.136588141322136,1316.83801269531,10,29,1,1
88.714917,27.369333,1,144,3202.86694335938,5,2,0.087875597178936,1314.74609375,5,19,1,1
88.711,27.25475,1,257,1007.49792480469,5,4.18092727661133,0.109151981770992,1316.841796875,5,19,1,1
88.711722,27.259833,1,229,1129.69677734375,5,8,0.10213690251112,1311.91516113281,10,40,1,1
88.720028,27.373083,1,126,3278.81127929688,5,3.02112340927124,0.204636454582214,1315.17321777344,5,27,1,1
88.721944,27.373472,1,151,3270.07543945312,5,3.71823692321777,0.159798428416252,1318.88586425781,5,29,4,1
88.726722,27.375833,1,180,3329.3544921875,5,5.28675222396851,0.208058431744576,1318.88586425781,5,28,1,1
88.728278,27.375028,1,227,3373.26000976562,5,4.19706153869629,0.0658256709575653,1317.46630859375,5,22,3.25720977783203,1
88.731722,27.373472,1,197,3406.7724609375,5,3,0.143306151032448,1316.62487792969,5,10,1,1
88.739139,27.372806,1,189,3491.48974609375,5,5.29144382476807,0.175841078162193,1305.90100097656,5,44,1,1
88.766167,27.376861,1,180,3784.91259765625,5,6,0.135545432567596,1325.92541503906,5,27,1,2
88.776028,27.367111,1,161,3903.3857421875,5,4.80939197540283,0.133299082517624,1315.83386230469,5,23,1,2
88.782889,27.37475,1,140,3904.0390625,5,5.98732614517212,0.13688151538372,1357.04028320312,5,14,1,2
88.787333,27.364583,1,163,3867.78344726562,5,4.81907272338867,0.096345417201519,1345.51525878906,5,27,1,1
88.786667,27.263278,1,227,3390.82739257812,5,3,0.10469776391983,1370.11755371094,5,36,1,3
88.786111,27.253528,1,207,3125.77563476562,5,1.94075059890747,0.107418656349182,1376.49194335938,5,22,1,2
88.794611,27.368917,1,118,3908.57934570312,5,5.98732614517212,0.13831852376461,1369.27026367188,5,27,2,1
88.788278,27.265389,1,211,3528.64794921875,5,2.99800443649292,0.169400930404663,1360.23779296875,5,34,1,3
88.788778,27.2615,1,231,3373.66015625,5,2.54229879379272,0.137257725000381,1377.318359375,5,10,1,3
88.789556,27.26525,1,226,3572.72045898438,5,6.82406187057495,0.151066794991493,1360.23779296875,5,39,1,3
88.792667,27.264694,1,237,3608.0498046875,5,5,0.200265258550644,1372.97961425781,5,39,1,3
88.804278,27.279972,1,172,3691.88916015625,5,2.17593836784363,0.111912950873375,1377.80444335938,5,35,1,2
88.816111,27.288667,1,218,3760.294921875,5,6,0.116940051317215,1401.23706054688,5,24,1,2
88.820417,27.292583,1,146,3787.28247070312,5,6,0.104333713650703,1423.02917480469,5,18,1,2
88.834917,27.364722,1,138,3860.42822265625,5,3,0.128699287772179,1512.63989257812,5,31,1,1
88.839306,27.361583,1,288,3834.41967773438,5,3.01613426208496,0.0659917891025543,1530.60864257812,5,55,1,1
88.8365,27.3145,1,161,4095.166015625,5,6,0.113592855632305,1482.30126953125,5,24,1,2
88.840194,27.358583,1,229,3841.12817382812,5,5.98732614517212,0.110709317028522,1530.60864257812,5,37,1,1
88.621833,27.337194,1,133,1783.5712890625,9,2,0.115202330052853,1286.36157226562,5,11,4,2
88.625278,27.375806,1,8,1840.09936523438,5,8,0.0505143664777279,1305.28527832031,5,21,1,2
88.626194,27.341444,1,189,1982.76647949219,5,2,0.261598438024521,1289.2548828125,5,27,1,2
88.629583,27.376306,1,328,1811.23864746094,5,8,0.0185074154287577,1311.17663574219,5,40,1,2
88.628389,27.340917,1,154,1986.02807617188,5,2,0.173083871603012,1295.28063964844,5,21,1,2
88.631083,27.378611,1,282,1824.59826660156,5,6.82406187057495,0.169377565383911,1315.17944335938,5,41,1,2
88.632611,27.381278,1,311,1787.51831054688,5,8,0.0242665261030197,1320.39965820312,5,41,1,1
88.633083,27.383806,1,303,1748.19360351562,5,8,0.096804715692997,1324.58068847656,5,33,1,1
88.640333,27.381917,1,239,1689.73095703125,5,8,0.223261296749115,1325.00122070312,5,30,1,2
88.640633,27.381078,1,280,1710.41271972656,5,8,0.0418284498155117,1325.00122070312,5,28,1,2
88.642056,27.293556,1,165,1460.65258789062,8,2,0.340302348136902,1291.32543945312,5,31,2.50480651855469,1
88.648917,27.329472,1,14,1403.37084960938,5,8,0.301919013261795,1306.9482421875,5,23,1,1
